symbol,sector,market_cap,change
MLBSL,Microfinance,5258375000,-0.83
MSMBS,Microfinance,1843301900,-0.83
MSLB,Microfinance,4339765372,-1.79
MKJC,Hydro Power,1638236350,3.97
MKLB,Microfinance,2087911215,1.62
MFIL,Finance,8920249140,0.44
MLBS,Microfinance,1520312500,0.0
MEGA,Commercial Banks,48522587008,-0.99
MMF1,Mutual Fund,1137500000,1.11
MERO,Microfinance,13536000000,-2.42
MMFDB,Microfinance,7011609608,-2.47
MDB,Development Banks,4499071938,1.63
MLBBL,Microfinance,2795171720,-2.61
MEN,Hydro Power,20947679388,-0.99
MHNL,Hydro Power,5290000000,1.49
MNBBL,Development Banks,29869914624,-0.38
MPFL,Finance,1871280000,-0.67
NBF2,Mutual Fund,1176000000,-2.05
NBF3,Mutual Fund,1182500000,0.21
NABIL,Commercial Banks,204298104296,-0.63
NBLD85,Corporate Debenture,0,-0.63
NEF,Mutual Fund,1313750000,0.86
NADEP,Microfinance,4205872000,0.86
NABBC,Development Banks,1296589944,0.82
NHPC,Hydro Power,4848151700,1.45
NLICL,Life Insurance,33128991392,-1.81
NMFBS,Microfinance,14541159920,-0.57
NSLB,Microfinance,3308743100,-2.26
NIL,Non Life Insurance,17879195975,-2.08
NAGRO,Microfinance,469862640,-2.08
NBB,Commercial Banks,39988611000,-2.2
NBL,Commercial Banks,52567149534,-0.03
NBBU,Manufacturing And Processing,0,-0.03
NCCB,Commercial Banks,30411322032,-2.36
NTC,Others,196950000000,-0.15
NFD,Others,16875639,-0.15
NFS,Finance,2580986172,0.19
NHDL,Hydro Power,1287718250,0.63
NIFRA,Investment,66506400000,-2.56
NICL,Non Life Insurance,9814474940,-2.0
NIB,Commercial Banks,74783715700,-2.0
NKU,Manufacturing And Processing,0,-2.0
NLIC,Life Insurance,112895540576,1.49
NLO,Manufacturing And Processing,122642760,1.49
NRIC,Others,133742000000,-0.17
SBI,Commercial Banks,36738863619,-2.88
NSEWA,Microfinance,511065000,-2.88
NSM,Finance,751680000,-2.88
NTL,Tradings,0,-2.88
NVG,Manufacturing And Processing,0,-2.88
NWC,Tradings,0,-2.88
NLBBL,Microfinance,6570000000,-3.95
NGPL,Hydro Power,4517298036,1.59
NIBLPF,Mutual Fund,756000000,-0.98
NIBSF2,Mutual Fund,1375500000,-0.33
NIBSF1,Mutual Fund,933000000,-0.48
NICBF,Mutual Fund,810870000,0.09
NICA,Commercial Banks,91933844520,-1.58
NICGF,Mutual Fund,962150400,-1.96
NICLBSL,Microfinance,20699336000,-3.02
NICD88,Corporate Debenture,0,-3.02
NICSF,Mutual Fund,1117500000,-2.61
NIDC,Development Banks,446817600,-2.61
NUBL,Microfinance,26265669150,-2.55
NLG,Non Life Insurance,10395832922,-2.16
NMBMF,Microfinance,7148906700,-1.8
NMB50,Mutual Fund,1488750000,-0.75
NMB,Commercial Banks,64099802544,-2.51
NMBD87/88,Corporate Debenture,0,-2.51
NMBEB92/93,Corporate Debenture,0,-2.51
NMBHF1,Mutual Fund,11350000000,-0.96
NRN,Investment,6923378222,-2.25
NYADI,Hydro Power,5730000000,-0.52
ODBL,Development Banks,4954917011,-0.52
OHL,Hotels,5302025350,-3.09
PMHPL,Hydro Power,3476000000,0.32
PPCL,Hydro Power,4378412500,0.22
PFL,Finance,4704957496,2.63
PRVU,Commercial Banks,40655144096,-2.77
PRIN,Non Life Insurance,9341694492,-0.86
PLI,Life Insurance,11680000000,-2.67
PSF,Mutual Fund,1127500000,-3.01
PIC,Non Life Insurance,10638144000,-1.98
PCBL,Commercial Banks,67162763520,-0.22
PLIC,Life Insurance,19515681127,-3.95
PROFL,Finance,3081985200,-2.17
PICL,Non Life Insurance,7283151162,-2.95
RADHI,Hydro Power,3703898358,1.06
RJM,Manufacturing And Processing,180696600,1.06
RRHP,Hydro Power,3153360000,1.06
RBCL,Non Life Insurance,46773374830,-2.54
RHPL,Hydro Power,22106825100,-0.14
RMF1,Mutual Fund,1125000000,0.0
RLFL,Finance,4991250336,-0.17
RLI,Life Insurance,10941000000,-1.7
RHPC,Hydro Power,4906976040,-1.7
RMDC,Microfinance,14892795600,-2.28
RSDC,Microfinance,6441246400,-3.5
RURU,Hydro Power,4175312491,2.65
SABSL,Microfinance,3806983080,-2.02
SDLBSL,Microfinance,4127747675,-3.02
SIC,Non Life Insurance,14069785950,-2.99
SHBL,Development Banks,1252445220,-2.99
SAHAS,Hydro Power,20300000000,2.47
SBBLJ,Development Banks,1004046354,2.47
STC,Tradings,13944215450,-2.73
SAMAJ,Microfinance,0,-2.73
SMATA,Microfinance,3879864344,-1.99
SFC,Finance,51750000,-1.99
SPC,Hydro Power,2245000000,2.05
SFCL,Finance,3095485092,3.0
SLBSL,Microfinance,1611720000,-2.71
